Full_Name,Appointing_President_1,Party_of_Appointing_President_1,Degree_Number,School,Degree,Degree_Year,DYear,School_Neat,Degree_Neat
"Solomon Blatt, Jr.",Richard M. Nixon,Republican,1,University of South Carolina,A.B.,1941-01-01,1941,Uof South Carolina,B.A.
David C. Norton,George H.W. Bush,Republican,1,University of the South,B.A.,1968-01-01,1968,Uof the South,B.A.
"Henry Michael Herlong, Jr.",George H.W. Bush,Republican,1,Clemson University,B.A.,1967-01-01,1967,Clemson,B.A.
Robert Bryan Harwell,George W. Bush,Republican,1,Clemson University,B.A.,1980-01-01,1980,Clemson,B.A.
Terry L. Wooten,George W. Bush,Republican,1,University of South Carolina,B.A.,1976-01-01,1976,Uof South Carolina,B.A.
"Joseph Fletcher Anderson, Jr.",Ronald Reagan,Republican,1,Clemson University,B.A.,1972-01-01,1972,Clemson,B.A.
Margaret B. Seymour,William J. Clinton,Democratic,1,Howard University,B.A.,1969-01-01,1969,Howard,B.A.
Patrick Michael Duffy,William J. Clinton,Democratic,1,The Citadel,B.A.,1965-01-01,1965,The Citadel,B.A.
Cameron McGowan Currie,William J. Clinton,Democratic,1,University of South Carolina,B.A.,1970-01-01,1970,Uof South Carolina,B.A.
Julianna Michelle Childs,Barack Obama,Democratic,1,University of South Florida,B.S.,1988-01-01,1988,Uof South Florida,B.S.
Mary Geiger Lewis,Barack Obama,Democratic,1,Clemson University,B.A.,1980-01-01,1980,Clemson,B.A.
Bruce Howe Hendricks,Barack Obama,Democratic,1,College of Charleston,B.A.,1983-01-01,1983, Charleston,B.A.
Timothy Martin Cain,Barack Obama,Democratic,1,University of South Carolina,B.S.,1983-01-01,1983,Uof South Carolina,B.S.
Richard Mark Gergel,Barack Obama,Democratic,1,Duke University,B.A.,1975-01-01,1975,Duke,B.A.
William Drayton,George Washington,,1,"Middle Temple, London, England",,1754-01-01,1754,"Middle Temple, London, England",
Thomas Bee,George Washington,,1,University of Oxford,,,,Uof Oxford,
Thomas Lee,James Monroe,Jeffersonian Republican,1,Read law,,1790-01-01,1790,Read law,
"Donald Cecil Coggins, Jr.",Donald J. Trump,Republican,1,Clemson University,B.A.,1981-01-01,1981,Clemson,B.A.
John Drayton,James Madison,Jeffersonian Republican,1,"Inner Temple, London, England",,,,"Inner Temple, London, England",
Robert Budd Gilchrist,Martin Van Buren,Democratic,1,South Carolina College (now University of South Carolina),A.B.,1814-01-01,1814,Uof South Carolina,B.A.
"George Ross Anderson, Jr.",Jimmy Carter,Democratic,1,Southeastern University,B.C.S.,1949-01-01,1949,Southeastern,B.C.S.
"Matthew James Perry, Jr.",Jimmy Carter,Democratic,1,Colored Normal Industrial & MechaniCollege of S. Car. (now S. Car. State U.),B.S.,1948-01-01,1948,S. Car. State U.,B.S.
"Falcon Black Hawkins, Jr.",Jimmy Carter,Democratic,1,The Citadel,B.S.,1958-01-01,1958,The Citadel,B.S.
C[harles] Weston Houck,Jimmy Carter,Democratic,1,University of South Carolina School of Law,LL.B.,1956-01-01,1956,Uof South Carolina,LL.B.
David Allen Smalley,Franklin Pierce,Democratic,1,Read law,,1831-01-01,1831,Read law,
James Loren Martin,Theodore Roosevelt,Republican,1,Albany Law School,LL.B.,1869-01-01,1869,Albany,LL.B.
Harland Bradley Howe,Woodrow Wilson,Democratic,1,University of Michigan Law School,LL.B.,1894-01-01,1894,Uof Michigan,LL.B.
James Patrick Leamy,Franklin D. Roosevelt,Democratic,1,College of the Holy Cross,A.B.,1912-01-01,1912, the Holy Cross,B.A.
"Ernest William Gibson, Jr.",Harry S Truman,Democratic,1,George Washington University Law School,,,,George Washington,
James Stuart Holden,Richard M. Nixon,Republican,1,Dartmouth College,A.B.,1935-01-01,1935,Dartmouth,B.A.
Albert Wheeler Coffrin,Richard M. Nixon,Republican,1,Middlebury College,A.B.,1941-01-01,1941,Middlebury,B.A.
Hoyt Henry Wheeler,Rutherford B. Hayes,Republican,1,Read law,,1859-01-01,1859,Read law,
Bernard Joseph Leddy,Lyndon B. Johnson,Democratic,1,St. Michael`s College,A.B.,1931-01-01,1931,St. Michael`s,B.A.
"Franklin S. Billings, Jr.",Ronald Reagan,Republican,1,Harvard College,B.S.,1943-01-01,1943,Harvard,B.S.
John Garvan Murtha,William J. Clinton,Democratic,1,Yale University,B.A.,1963-01-01,1963,Yale,B.A.
"William K. Sessions, III",William J. Clinton,Democratic,1,Middlebury College,B.A.,1969-01-01,1969,Middlebury,B.A.
Christina Clair Reiss,Barack Obama,Democratic,1,St. Michael`s College,B.A.,1984-01-01,1984,St. Michael`s,B.A.
Geoffrey William Crawford,Barack Obama,Democratic,1,Yale University,B.A.,1977-01-01,1977,Yale,B.A.
Nathaniel Chipman,George Washington,,1,Yale College,,1777-01-01,1777,Yale,
Elijah Paine,John Adams,Federalist,1,Harvard College,A.B.,1781-01-01,1781,Harvard,B.A.
Samuel Prentiss,John Tyler,Whig,1,Read law,,1802-01-01,1802,Read law,
Samuel Treat,Franklin Pierce,Democratic,1,Harvard University,B.A.,1837-01-01,1837,Harvard,B.A.
Gustavus Adolphus Finkelnburg,Theodore Roosevelt,Republican,1,Cincinnati Law School (now University of Cincinnati College of Law),,1859-01-01,1859,Uof Cincinnati,
David Patterson Dyer,Theodore Roosevelt,Republican,1,St. Charles College,,,,St. Charles,
Charles B. Davis,Calvin Coolidge,Republican,1,University of Missouri,A.B.,1902-01-01,1902,Uof Missouri,B.A.
George Moore,Franklin D. Roosevelt,Democratic,1,University of Missouri School of Law,LL.B.,1901-01-01,1901,Uof Missouri,LL.B.
Rubey Mosley Hulen,Franklin D. Roosevelt,Democratic,1,Kansas City School of Law (now University of Missouri-Kansas City School of Law),,1914-01-01,1914,Uof Missouri,
Henry Samuel Priest,Grover Cleveland,Democratic,1,"Westminster College, Fulton, Missouri",A.B.,1872-01-01,1872,"Westminster, Fulton, Missouri",B.A.
Henry Samuel Priest,Grover Cleveland,Democratic,1,"Westminster College, Fulton, Missouri",A.B.,1872-01-01,1872,"Westminster, Fulton, Missouri",B.A.
Randolph Henry Weber,Dwight D. Eisenhower,Republican,1,Washington University School of Law,LL.B.,1933-01-01,1933,Washington,LL.B.
John Francis Nangle,Richard M. Nixon,Republican,1,Harris Teachers College (now Harris-Stowe State University),A.A.,1941-01-01,1941,Harris-Stowe State,A.A.
Jean Constance Hamilton,George H.W. Bush,Republican,1,Wellesley College,B.A.,1968-01-01,1968,Wellesley,B.A.
Carol E. Jackson,George H.W. Bush,Republican,1,Wellesley College,B.A.,1973-01-01,1973,Wellesley,B.A.
Donald J. Stohr,George H.W. Bush,Republican,1,St. Louis University,B.S.,1956-01-01,1956,St. Louis,B.S.
Henry Edward Autrey,George W. Bush,Republican,1,St. Louis University,B.S.,1974-01-01,1974,St. Louis,B.S.
"Stephen Nathaniel Limbaugh, Jr.",George W. Bush,Republican,1,Southern Methodist University,B.A.,1973-01-01,1973,Southern Methodist,B.A.
"George F. Gunn, Jr.",Ronald Reagan,Republican,1,"Westminster College, Fulton, Missouri",A.B.,1950-01-01,1950,"Westminster, Fulton, Missouri",B.A.
Catherine D. Perry,William J. Clinton,Democratic,1,University of Oklahoma,B.A.,1977-01-01,1977,Uof Oklahoma,B.A.
E. Richard Webber,William J. Clinton,Democratic,1,University of Missouri,B.S.,1964-01-01,1964,Uof Missouri,B.S.
Charles Alexander Shaw,William J. Clinton,Democratic,1,Harris-Stowe State College,B.A.,1966-01-01,1966,Harris-Stowe State,B.A.
Audrey Goldstein Fleissig,Barack Obama,Democratic,1,Carleton College,B.A.,1976-01-01,1976,Carleton,B.A.
Ronnie Lee White,Barack Obama,Democratic,1,St. Louis Community College,A.A.,1977-01-01,1977,St. Louis Community,A.A.
John Andrew Ross,Barack Obama,Democratic,1,Emory University,B.A.,1976-01-01,1976,Emory,B.A.
"Stephen Robert Clark, Sr.",Donald J. Trump,Republican,1,University of Notre Dame,B.A.,1988-01-01,1988,Uof Notre Dame,B.A.
James Hargrove Meredith,John F. Kennedy,Democratic,1,University of Missouri,A.B.,1936-01-01,1936,Uof Missouri,B.A.
John Keating Regan,John F. Kennedy,Democratic,1,Benton College of Law,LL.B.,1934-01-01,1934,Benton,LL.B.
"Clyde S. Cahill, Jr.",Jimmy Carter,Democratic,1,St. Louis University,B.S.,1949-01-01,1949,St. Louis,B.S.
Edward Louis Filippine,Jimmy Carter,Democratic,1,St. Louis University,A.B.,1951-01-01,1951,St. Louis,B.A.
William Leonard Hungate,Jimmy Carter,Democratic,1,University of Missouri,A.B.,1943-01-01,1943,Uof Missouri,B.A.
McQueen McIntosh,Franklin Pierce,Democratic,1,Read law,,,,Read law,
William Bostwick Sheppard,Theodore Roosevelt,Republican,1,University of North Carolina,,,,Uof North Carolina,
Augustus V. Long,Franklin D. Roosevelt,Democratic,1,Florida Agricultural College (now University of Florida),,,,Uof Florida,
Dozier Adolphus DeVane,Franklin D. Roosevelt,Democratic,1,Washington and Lee University School of Law,LL.B.,1908-01-01,1908,Washington and Lee,LL.B.
Philip Fraser,Abraham Lincoln,Republican,1,,,,,,
Thomas Settle,Ulysses Grant,Republican,1,University of North Carolina,A.B.,1850-01-01,1850,Uof North Carolina,B.A.
"David Lycurgus Middlebrooks, Jr.",Richard M. Nixon,Republican,1,Florida State University,B.S.,1950-01-01,1950,Florida State,B.S.
Winston Eugene Arnow,Lyndon B. Johnson,Democratic,1,University of Florida,B.B.A.,1932-01-01,1932,Uof Florida,B.B.A.
Lacey A. Collier,George H.W. Bush,Republican,1,Naval Academy Postgraduate School,B.A.,1970-01-01,1970,Naval Academy Postgraduate,B.A.
"John Richard Smoak, Jr.",George W. Bush,Republican,1,U.S. Military Academy,B.S.,1965-01-01,1965,U.S. Military Academy,B.S.
Margaret Catharine Rodgers,George W. Bush,Republican,1,University of West Florida,B.A.,1989-01-01,1989,Uof West Florida,B.A.
Maurice Mitchell Paul,Ronald Reagan,Republican,1,University of Florida,B.S.B.A.,1954-01-01,1954,Uof Florida,B.B.A.
Clyde Roger Vinson,Ronald Reagan,Republican,1,U.S. Naval Academy,B.S.,1962-01-01,1962,U.S. Naval Academy,B.S.
Robert Lewis Hinkle,William J. Clinton,Democratic,1,Florida State University,B.A.,1972-01-01,1972,Florida State,B.A.
Stephan P. Mickle,William J. Clinton,Democratic,1,University of Florida,B.A.,1965-01-01,1965,Uof Florida,B.A.
Mark Eaton Walker,Barack Obama,Democratic,1,University of Florida,B.A.,1989-01-01,1989,Uof Florida,B.A.
,Donald J. Trump,Republican,1,Auburn University,B.S.B.A.,1997-01-01,1997,Auburn,B.B.A.
Charles Swayne,Benjamin Harrison,Republican,1,University of Pennsylvania Law School,LL.B.,1871-01-01,1871,Uof Pennsylvania,LL.B.
"William Henry Stafford, Jr.",Gerald Ford,Republican,1,Temple University,B.S.,1953-01-01,1953,Temple,B.S.
Lynn Carlton Higby,Jimmy Carter,Democratic,1,Emory University,B.A.,1960-01-01,1960,Emory,B.A.
Hiram V. Willson,Franklin Pierce,Democratic,1,Read law,,,,Read law,
Robert Walker Tayler,Theodore Roosevelt,Republican,1,Western Reserve College (now Case Western Reserve University),A.B.,1872-01-01,1872,Case Western Reserve,B.A.
David C. Westenhaver,Woodrow Wilson,Democratic,1,Georgetown College Law School (now Georgetown University Law Center),LL.B.,1886-01-01,1886,Georgetown,LL.B.
Samuel H. West,Calvin Coolidge,Republican,1,Read law,,1893-01-01,1893,Read law,
George Philip Hahn,Calvin Coolidge,Republican,1,Ohio State University College of Law,LL.B.,1905-01-01,1905,Ohio State,LL.B.
Robert Nugen Wilkin,Franklin D. Roosevelt,Democratic,1,University of Virginia School of Law,LL.B.,1908-01-01,1908,Uof Virginia,LL.B.
Frank Le Blond Kloeb,Franklin D. Roosevelt,Democratic,1,Ohio State University,,,,Ohio State,
Emerich B. Freed,Franklin D. Roosevelt,Democratic,1,Western Reserve University (now Case Western Reserve University),A.B.,1918-01-01,1918,Case Western Reserve,B.A.
Girard Edward Kalbfleisch,Dwight D. Eisenhower,Republican,1,"Ohio Northern University, Warren G. Harding College of Law",LL.B.,1923-01-01,1923,"Ohio Northern, Warren G. Harding",LL.B.
James C. Connell,Dwight D. Eisenhower,Republican,1,John Marshall School of Law (now Cleveland-Marshall College of Law),LL.B.,1918-01-01,1918,Cleveland-Marshall,LL.B.
Martin Welker,Ulysses Grant,Republican,1,Read law,,1840-01-01,1840,Read law,
Charles Taylor Sherman,Andrew Johnson,Democratic,1,Ohio University,,1830-01-01,1830,Ohio,
Charles Joseph McNamee,Harry S Truman,Democratic,1,Cleveland Law School (now Cleveland-Marshall College of Law),LL.B.,1917-01-01,1917,Cleveland-Marshall,LL.B.
"Nicholas Joseph Walinski, Jr.",Richard M. Nixon,Republican,1,Toledo University (now University of Toledo),B.S.,1949-01-01,1949,Uof Toledo,B.S.
Don John Young,Lyndon B. Johnson,Democratic,1,Western Reserve University (now Case Western Reserve University),A.B.,1932-01-01,1932,Case Western Reserve,B.A.
William Kernahan Thomas,Lyndon B. Johnson,Democratic,1,Ohio State University,B.A.,1932-01-01,1932,Ohio State,B.A.
Thomas Demetrios Lambros,Lyndon B. Johnson,Democratic,1,Cleveland-Marshall College of Law,LL.B.,1952-01-01,1952,Cleveland-Marshall,LL.B.
William Louis Day,William H. Taft,Republican,1,Williston Seminary (now Williston Northampton School),,,,Williston Northampton,
John Milton Killits,William H. Taft,Republican,1,Williams College,A.B.,1880-01-01,1880,Williams,B.A.
Paul J. Jones,Warren G. Harding,Republican,1,University of Michigan Law School,LL.B.,1905-01-01,1905,Uof Michigan,LL.B.
Paul Ramon Matia,George H.W. Bush,Republican,1,Western Reserve University (now Case Western Reserve University),B.A.,1959-01-01,1959,Case Western Reserve,B.A.
Jack Zouhary,George W. Bush,Republican,1,Dartmouth College,B.A.,1973-01-01,1973,Dartmouth,B.A.
Sara Elizabeth Lioi,George W. Bush,Republican,1,Bowling Green State University,B.A.,1983-01-01,1983,Bowling Green State,B.A.
John R. Adams,George W. Bush,Republican,1,Bowling Green State University,B.S.,1978-01-01,1978,Bowling Green State,B.S.
Christopher A. Boyko,George W. Bush,Republican,1,Mount Union College,B.A.,1976-01-01,1976,Mount Union,B.A.
Alvin I. Krenzler,Ronald Reagan,Republican,1,Western Reserve University (now Case Western Reserve University),A.B.,1946-01-01,1946,Case Western Reserve,B.A.
John William Potter,Ronald Reagan,Republican,1,Toledo University (now University of Toledo),Ph.B.,1940-01-01,1940,Uof Toledo,Ph.B.
"Richard B. McQuade, Jr.",Ronald Reagan,Republican,1,Toledo University (now University of Toledo),B.A.,1961-01-01,1961,Uof Toledo,B.A.
"David Dudley Dowd, Jr.",Ronald Reagan,Republican,1,College of Wooster,B.A.,1951-01-01,1951, Wooster,B.A.
Samuel H. Bell,Ronald Reagan,Republican,1,College of Wooster,B.A.,1947-01-01,1947, Wooster,B.A.
David A. Katz,William J. Clinton,Democratic,1,Ohio State University,B.S.,1955-01-01,1955,Ohio State,B.S.
James G. Carr,William J. Clinton,Democratic,1,Kenyon College,B.A.,1966-01-01,1966,Kenyon,B.A.
Dan A. Polster,William J. Clinton,Democratic,1,Harvard College,A.B.,1972-01-01,1972,Harvard,B.A.
Peter C. Economus,William J. Clinton,Democratic,1,Youngstown State University,B.A.,1967-01-01,1967,Youngstown State,B.A.
Lesley Brooks Wells,William J. Clinton,Democratic,1,Chatham College,B.A.,1959-01-01,1959,Chatham,B.A.
Donald C. Nugent,William J. Clinton,Democratic,1,"Xavier University, Ohio",B.A.,1970-01-01,1970,"Xavier, Ohio",B.A.
James S. Gwin,William J. Clinton,Democratic,1,Kenyon College,A.B.,1976-01-01,1976,Kenyon,B.A.
Patricia Anne Gaughan,William J. Clinton,Democratic,1,"St. Mary`s College, Notre Dame, Indiana",B.A.,1975-01-01,1975,"St. Mary`s, Notre Dame, Indiana",B.A.
"Solomon Oliver, Jr.",William J. Clinton,Democratic,1,College of Wooster,B.A.,1969-01-01,1969, Wooster,B.A.
Jeffrey James Helmick,Barack Obama,Democratic,1,University of Michigan,B.A.,1983-01-01,1983,Uof Michigan,B.A.
Benita Yalonda Pearson,Barack Obama,Democratic,1,Georgetown University,B.S.,1985-01-01,1985,Georgetown,B.S.
,Donald J. Trump,Republican,1,Kenyon College,B.A.,1979-01-01,1979,Kenyon,B.A.
Frank Joseph Battisti,John F. Kennedy,Democratic,1,Ohio University,A.B.,1947-01-01,1947,Ohio,B.A.
Ben Charles Green,John F. Kennedy,Democratic,1,Western Reserve University (now Case Western Reserve University),A.B.,1928-01-01,1928,Case Western Reserve,B.A.
Augustus J. Ricks,Benjamin Harrison,Republican,1,Kenyon College,,,,Kenyon,
John Michael Manos,Gerald Ford,Republican,1,Case Institute of Technology (now Case Western Reserve University),B.S.,1944-01-01,1944,Case Western Reserve,B.S.
Francis Joseph Wing,William McKinley,Republican,1,Harvard University,,,,Harvard,
George Washington White,Jimmy Carter,Democratic,1,Cleveland-Marshall College of Law,J.D.,1955-01-01,1955,Cleveland-Marshall,J.D.
Ann Aldrich,Jimmy Carter,Democratic,1,Columbia University,B.A.,1948-01-01,1948,Columbia,B.A.
Isaac Stockton Keith Ogier,Franklin Pierce,Democratic,1,Read law,,1845-01-01,1845,Read law,
Oscar A. Trippet,Woodrow Wilson,Democratic,1,University of Virginia School of Law,,,,Uof Virginia,
Benjamin Franklin Bledsoe,Woodrow Wilson,Democratic,1,Read law,,1896-01-01,1896,Read law,
Paul John McCormick,Calvin Coolidge,Republican,1,St. Ignatius College (now University of San Francisco),,,,Uof San Francisco,
Edward J. Henning,Calvin Coolidge,Republican,1,University of Wisconsin,B.L.,1894-01-01,1894,Uof Wisconsin,LL.B.
James Francis Thaddeus O'Connor,Franklin D. Roosevelt,Democratic,1,University of North Dakota,A.B.,1907-01-01,1907,Uof North Dakota,B.A.
Ralph E. Jenney,Franklin D. Roosevelt,Democratic,1,University of Michigan,A.B.,1904-01-01,1904,Uof Michigan,B.A.
Campbell Eben Beaumont,Franklin D. Roosevelt,Democratic,1,Cumberland School of Law,LL.B.,1910-01-01,1910,Cumberland,LL.B.
Benjamin Harrison,Franklin D. Roosevelt,Democratic,1,Read law,,1914-01-01,1914,Read law,
Olin Wellborn,Grover Cleveland,Democratic,1,Emory College,,1862-01-01,1862,Emory,
Olin Wellborn,Grover Cleveland,Democratic,1,Emory College,,1862-01-01,1862,Emory,
George Cosgrave,Herbert Hoover,Republican,1,Read law,,1895-01-01,1895,Read law,
Harry Aaron Hollzer,Herbert Hoover,Republican,1,"University of California, Berkeley",B.L.,1902-01-01,1902,"Uof California, Berkeley",LL.B.
Fred Kunzel,Dwight D. Eisenhower,Republican,1,Stanford University,A.B.,1925-01-01,1925,Stanford,B.A.
Fletcher Mathews Haight,Abraham Lincoln,Republican,1,Read law,,1820-01-01,1820,Read law,
Ernest Allen Tolin,Harry S Truman,Democratic,1,Southwestern University School of Law,LL.B.,1930-01-01,1930,Southwestern,LL.B.
Jacob Weinberger,Harry S Truman,Democratic,1,University of Colorado Law School,LL.B.,1904-01-01,1904,Uof Colorado,LL.B.
William Carey Mathes,Harry S Truman,Democratic,1,University of Texas,B.M.A.,1921-01-01,1921,Uof Texas,B.A.
Harry Clay Westover,Harry S Truman,Democratic,1,University of Arizona College of Law,LL.B.,1918-01-01,1918,Uof Arizona,LL.B.
Howard Boyd Turrentine,Richard M. Nixon,Republican,1,San Diego State College,A.B.,1936-01-01,1936,San Diego State,B.A.
"Gordon Thompson, Jr.",Richard M. Nixon,Republican,1,University of Southern California,B.S.,1951-01-01,1951,Uof Southern California,B.S.
William Benner Enright,Richard M. Nixon,Republican,1,Dartmouth College,A.B.,1947-01-01,1947,Dartmouth,B.A.
Leland Chris Nielsen,Richard M. Nixon,Republican,1,Washburn College,A.B.,1941-01-01,1941,Washburn,B.A.
Edward Joseph Schwartz,Lyndon B. Johnson,Democratic,1,"University of California, Berkeley",A.B.,1934-01-01,1934,"Uof California, Berkeley",B.A.
William P. James,Warren G. Harding,Republican,1,,,,,,
Irma Elsa Gonzalez,George H.W. Bush,Republican,1,Stanford University,B.A.,1970-01-01,1970,Stanford,B.A.
Marilyn L. Huff,George H.W. Bush,Republican,1,Calvin College,B.A.,1972-01-01,1972,Calvin,B.A.
Janis Lynn Sammartino,George W. Bush,Republican,1,Occidental College,A.B.,1972-01-01,1972,Occidental,B.A.
Michael M. Anello,George W. Bush,Republican,1,Bowdoin College,B.A.,1965-01-01,1965,Bowdoin,B.A.
Larry Alan Burns,George W. Bush,Republican,1,Point Loma College (now Point Loma Nazarene University),B.A.,1976-01-01,1976,Point Loma Nazarene,B.A.
Dana Makoto Sabraw,George W. Bush,Republican,1,AmeriRiver Junior College,A.A.,1978-01-01,1978,AmeriRiver Junior,A.A.
William Q. Hayes,George W. Bush,Republican,1,Syracuse University,B.S.,1978-01-01,1978,Syracuse,B.S.
John A. Houston,George W. Bush,Republican,1,North Carolina A&T State University,B.S.,1974-01-01,1974,North Carolina A&T State,B.S.
Roger T. Benitez,George W. Bush,Republican,1,Imperial Valley College,A.A.,1971-01-01,1971,Imperial Valley,A.A.
Rudi M. Brewster,Ronald Reagan,Republican,1,Princeton University,B.A.,1954-01-01,1954,Princeton,B.A.
J. Lawrence Irving,Ronald Reagan,Republican,1,University of Southern California,B.S.,1959-01-01,1959,Uof Southern California,B.S.
"John Skylstead Rhoades, Sr.",Ronald Reagan,Republican,1,Stanford University,A.B.,1948-01-01,1948,Stanford,B.A.
M. James Lorenz,William J. Clinton,Democratic,1,"University of California, Berkeley",B.A.,1957-01-01,1957,"Uof California, Berkeley",B.A.
