Full_Name,Appointing_President_1,Party_of_Appointing_President_1,Degree_Number,School,Degree,Degree_Year,DYear,School_Neat,Degree_Neat
Alan Harris Nevas,Ronald Reagan,Republican,1,Syracuse University,A.B.,1949-01-01,1949,Syracuse,B.A.
Janet Bond Arterton,William J. Clinton,Democratic,1,Mount Holyoke College,B.A.,1966-01-01,1966,Mount Holyoke,B.A.
Janet C. Hall,William J. Clinton,Democratic,1,Mount Holyoke College,A.B.,1970-01-01,1970,Mount Holyoke,B.A.
Alvin W. Thompson,William J. Clinton,Democratic,1,Princeton University,B.A.,1975-01-01,1975,Princeton,B.A.
Stefan R. Underhill,William J. Clinton,Democratic,1,University of Virginia,B.A.,1978-01-01,1978,Uof Virginia,B.A.
Robert N. Chatigny,William J. Clinton,Democratic,1,Brown University,A.B.,1973-01-01,1973,Brown,B.A.
Dominic J. Squatrito,William J. Clinton,Democratic,1,Wesleyan University,B.A.,1961-01-01,1961,Wesleyan,B.A.
Victor Allen Bolden,Barack Obama,Democratic,1,Columbia University,A.B.,1986-01-01,1986,Columbia,B.A.
Michael Peter Shea,Barack Obama,Democratic,1,Amherst College,B.A.,1989-01-01,1989,Amherst,B.A.
Jeffrey Alker Meyer,Barack Obama,Democratic,1,Yale College,B.A.,1985-01-01,1985,Yale,B.A.
Richard Law,George Washington,,1,Yale College,,1751-01-01,1751,Yale,
Andrew Thompson Judson,Andrew Jackson,Democratic,1,Read law,,1806-01-01,1806,Read law,
Pierpont Edwards,Thomas Jefferson,Jeffersonian Republican,1,College of New Jersey (now Princeton University),,1768-01-01,1768,Princeton,
,Donald J. Trump,Republican,1,Cornell University,B.A.,1985-01-01,1985,Cornell,B.A.
Mosher Joseph Blumenfeld,John F. Kennedy,Democratic,1,University of Minnesota,B.A.,1925-01-01,1925,Uof Minnesota,B.A.
T. Emmet Clarie,John F. Kennedy,Democratic,1,Providence College,Ph.B.,1933-01-01,1933,Providence,Ph.B.
William Bristol,John Quincy Adams,Jeffersonian Republican,1,Yale College,,1798-01-01,1798,Yale,
T. F. Gilroy Daly,Jimmy Carter,Democratic,1,Georgetown College (now Georgetown University),B.A.,1952-01-01,1952,Georgetown,B.A.
Ellen Bree Burns,Jimmy Carter,Democratic,1,Albertus Magnus College,B.A.,1944-01-01,1944,Albertus Magnus,B.A.
Warren William Eginton,Jimmy Carter,Democratic,1,Princeton University,A.B.,1948-01-01,1948,Princeton,B.A.
William Fell Giles,Franklin Pierce,Democratic,1,Read law,,1829-01-01,1829,Read law,
William Caldwell Coleman,Calvin Coolidge,Republican,1,Harvard University,A.B.,1905-01-01,1905,Harvard,B.A.
William Calvin Chesnut,Herbert Hoover,Republican,1,Johns Hopkins University,A.B.,1892-01-01,1892,Johns Hopkins,B.A.
Roszel Cathcart Thomsen,Dwight D. Eisenhower,Republican,1,Johns Hopkins University,B.A.,1919-01-01,1919,Johns Hopkins,B.A.
Robert Dorsey Watkins,Dwight D. Eisenhower,Republican,1,Johns Hopkins University,A.B.,1922-01-01,1922,Johns Hopkins,B.A.
Herbert Frazier Murray,Richard M. Nixon,Republican,1,Yale University,B.A.,1947-01-01,1947,Yale,B.A.
Joseph H. Young,Richard M. Nixon,Republican,1,Dartmouth College,A.B.,1948-01-01,1948,Dartmouth,B.A.
"James Rogers Miller, Jr.",Richard M. Nixon,Republican,1,Wesleyan University,B.A.,1953-01-01,1953,Wesleyan,B.A.
Charles Stanley Blair,Richard M. Nixon,Republican,1,University of Maryland,B.S.,1951-01-01,1951,Uof Maryland,B.S.
Thomas John Morris,Rutherford B. Hayes,Republican,1,Harvard College,A.B.,1856-01-01,1856,Harvard,B.A.
"Alexander Harvey, II",Lyndon B. Johnson,Democratic,1,Yale University,B.A.,1947-01-01,1947,Yale,B.A.
Frank Albert Kaufman,Lyndon B. Johnson,Democratic,1,Dartmouth College,A.B.,1937-01-01,1937,Dartmouth,B.A.
William M. Nickerson,George H.W. Bush,Republican,1,University of Virginia,B.A.,1955-01-01,1955,Uof Virginia,B.A.
Marvin J. Garbis,George H.W. Bush,Republican,1,Johns Hopkins University,B.E.S.,1958-01-01,1958,Johns Hopkins,B.E.S.
Benson Everett Legg,George H.W. Bush,Republican,1,Princeton University,A.B.,1970-01-01,1970,Princeton,B.A.
"William D. Quarles, Jr.",George W. Bush,Republican,1,Community College of Baltimore,A.A.,1967-01-01,1967,Community Baltimore,A.A.
Roger W. Titus,George W. Bush,Republican,1,Johns Hopkins University,B.A.,1963-01-01,1963,Johns Hopkins,B.A.
Richard D. Bennett,George W. Bush,Republican,1,University of Pennsylvania,B.A.,1969-01-01,1969,Uof Pennsylvania,B.A.
"Walter Evan Black, Jr.",Ronald Reagan,Republican,1,Harvard University,A.B.,1947-01-01,1947,Harvard,B.A.
Frederic N. Smalkin,Ronald Reagan,Republican,1,Johns Hopkins University,B.A.,1968-01-01,1968,Johns Hopkins,B.A.
"John Raymond Hargrove, Sr.",Ronald Reagan,Republican,1,Howard University,B.A.,1947-01-01,1947,Howard,B.A.
J. Frederick Motz,Ronald Reagan,Republican,1,Wesleyan University,A.B.,1964-01-01,1964,Wesleyan,B.A.
Deborah K. Chasanow,William J. Clinton,Democratic,1,Rutgers University,B.A.,1970-01-01,1970,Rutgers,B.A.
"Alexander Williams, Jr.",William J. Clinton,Democratic,1,Howard University,B.A.,1970-01-01,1970,Howard,B.A.
Peter Jo Messitte,William J. Clinton,Democratic,1,Amherst College,B.A.,1963-01-01,1963,Amherst,B.A.
Catherine C. Blake,William J. Clinton,Democratic,1,Radcliffe College,A.B.,1972-01-01,1972,Radcliffe,B.A.
Theodore David Chuang,Barack Obama,Democratic,1,Harvard College,B.A.,1991-01-01,1991,Harvard,B.A.
Ellen Lipton Hollander,Barack Obama,Democratic,1,Goucher College,B.A.,1971-01-01,1971,Goucher,B.A.
Paula Xinis,Barack Obama,Democratic,1,University of Virginia,B.A.,1991-01-01,1991,Uof Virginia,B.A.
Paul William Grimm,Barack Obama,Democratic,1,"University of California, Davis",B.A.,1973-01-01,1973,"Uof California, Davis",B.A.
George Jarrod Hazel,Barack Obama,Democratic,1,Morehouse College,B.A.,1996-01-01,1996,Morehouse,B.A.
"George Levi Russell, III",Barack Obama,Democratic,1,Morehouse College,B.A.,1988-01-01,1988,Morehouse,B.A.
James Kelleher Bredar,Barack Obama,Democratic,1,Harvard University,B.A.,1979-01-01,1979,Harvard,B.A.
William Paca,George Washington,,1,"Inner Temple, London, England",,,,"Inner Temple, London, England",
James Winchester,John Adams,Federalist,1,,,,,,
Upton Scott Heath,Andrew Jackson,Democratic,1,,,,,,
James Houston,Thomas Jefferson,Jeffersonian Republican,1,Read law,,1806-01-01,1806,Read law,
Theodorick Bland,James Monroe,Jeffersonian Republican,1,,,,,,
Elias Glenn,James Monroe,Jeffersonian Republican,1,,,,,,
John Glenn,Millard Fillmore,Whig,1,Read law,,1817-01-01,1817,Read law,
Edward Skottowe Northrop,John F. Kennedy,Democratic,1,George Washington University Law School,LL.B.,1937-01-01,1937,George Washington,LL.B.
Norman Park Ramsey,Jimmy Carter,Democratic,1,University of Maryland School of Law,LL.B.,1947-01-01,1947,Uof Maryland,LL.B.
Joseph Clemens Howard,Jimmy Carter,Democratic,1,University of Iowa,B.A.,1950-01-01,1950,Uof Iowa,B.A.
Shirley Brannock Jones,Jimmy Carter,Democratic,1,University of Baltimore Junior College,A.A.,1944-01-01,1944,Uof Baltimore Junior,A.A.
Andrew Gordon Magrath,Franklin Pierce,Democratic,1,Harvard Law School,,,,Harvard,
William Hiram Brawley,Grover Cleveland,Democratic,1,South Carolina College (now University of South Carolina),,1860-01-01,1860,Uof South Carolina,
William Hiram Brawley,Grover Cleveland,Democratic,1,South Carolina College (now University of South Carolina),,1860-01-01,1860,Uof South Carolina,
George Seabrook Bryan,Andrew Johnson,Democratic,1,Read law,,,,Read law,
